ID,PRODUCTOS,UNIDADES,Eroski,BM
1,ABRILLANTADOR LAVAVAJILLAS,litro,0.0,0.0
2,ACEITE GIRASOL,litro,0.0,0.0
3,ACEITE OLIVA,litro,0.0,0.0
4,ACEITUNA NEGRA SIN HUESO,kilo,0.0,0.0
5,ACEITUNA RELLENA ANCHOA,kilo,0.0,0.0
6,AGUACATE ,kilo,0.0,0.0
7,AJO,kilo,0.0,0.0
8,ALCACHOFA CORAZONES GRANDES ,kilo,0.0,0.0
9,ALMENDRA CRUDA ,kilo,0.0,0.0
10,ALUBIA COCIDA BLANCA,kilo,0.0,0.0
11,ANCHOA,kilo,0.0,0.0
12,ANCHOA FILETE ACEITE OLIVA,kilo,0.0,0.0
13,ARANDANOS ,kilo,0.0,0.0
14,ARROZ BOMBA,kilo,0.0,0.0
15,ATUN CLARO EN ACEITE OLIVA ,kilo,0.0,0.0
16,AVELLANA TOSTADA PELADA SIN SA,kilo,0.0,0.0
17,AZUCAR BLANQUILLA,kilo,0.0,0.0
18,BOLSA BASURA,unidad,0.0,0.0
19,BONITO ,kilo,0.0,0.0
20,BONITO CONSERVA,,0.0,0.0
21,BORRAJA,kilo,0.0,0.0
22,BROCOLI,kilo,0.0,0.0
23,CACAHUETE TOSTADO ,kilo,0.0,0.0
24,CALABACIN,kilo,0.0,0.0
25,CALABAZA,kilo,0.0,0.0
26,CALABAZA CACAHUETE,kilo,0.0,0.0
27,CARNE PICADA VACUNO,kilo,0.0,0.0
28,CEBOLLA BLANCA,kilo,0.0,0.0
29,CEBOLLETA ,manojo,0.0,0.0
30,CEREZAS,,0.0,0.0
31,CERVEZA,litro,0.0,0.0
32,CERVEZA 0,litro,0.0,0.0
33,CHAMPIÑON ENTERO CONSERVA,kilo,0.0,0.0
34,CHAMPIÑONES,kilo,0.0,0.0
35,CIRUELAS ,,0.0,0.0
36,COGOLLOS CORAZONES,unidad,0.0,0.0
37,COLIFROR,unidad,0.0,0.0
38,CORVINA FRESCA ENTERA,,0.0,0.0
39,DENTRIFICO,mililitro,0.0,0.0
40,DESENGRASANTE  KH-7,litro,0.0,0.0
41,DETERGENTE LIQUIDO,dosis,0.0,0.0
42,DORADA FRESCA ENTERA,kilo,0.0,0.0
43,ENTRECOT,kilo,0.0,0.0
44,ESPAGUETI PASTA,kilo,0.0,0.0
45,ESPARRAGO BLANCO MUY GRUESO 6/12 ,kilo,0.0,0.0
46,ESPINACAS,,0.0,0.0
47,ESPUMA AFEITAR,mililitro,0.0,0.0
48,FAIRY,litro,0.0,0.0
49,GARBANZO COCIDO,kilo,0.0,0.0
50,GEL BAÑO ,,0.0,0.0
51,GUINDILLAS,kilo,0.0,0.0
52,GUISANTE CONSERVA,kilo,0.0,0.0
53,GULAS ,kilo,0.0,0.0
54,HAMBURGUESA VACUNO,kilo,0.0,0.0
