ID,PRODUCTOS,UNIDADES,Eroski,BM
55,HAMBURGUESA VACUNO/CERDO,kilo,0.0,0.0
56,HARINA TRIGO,kilo,0.0,0.0
57,HUEVOS CAMPEROS ,docena,0.0,0.0
58,HUEVOS CODORNIZ,docena,0.0,0.0
59,HUEVOS XL,docena,0.0,0.0
60,JAMON COCIDO EXTRA LONCHAS,kilo,0.0,0.0
61,JUDIA VERDE PLANA ,kilo,0.0,0.0
62,KETCHUP,kilo,0.0,0.0
63,KIWI VERDE,kilo,0.0,0.0
64,LANGOSTINO ,kilo,0.0,0.0
65,LANGOSTINO COCIDO,kilo,0.0,0.0
66,LAVAVAJILLAS MAQUINA GEL ,litro,0.0,0.0
67,LECHE DESNATADA,litro,0.0,0.0
68,LECHE SEMIDESNATADA,litro,0.0,0.0
69,LECHUGA,unidad,0.0,0.0
70,LEGIA ,litro,0.0,0.0
71,LENTEJA PARDINA,kilo,0.0,0.0
72,LIMON,kilo,0.0,2.99
73,LIMPIACRISTALES,litro,0.0,0.0
74,LIMPIADOR SUELO,litro,0.0,0.0
75,LIMPIADOR VITROCERAMICA ,,0.0,0.0
76,LONGANIZA FRESCO,kilo,0.0,0.0
77,LUBINA FRESCA ENTERA ,kilo,0.0,0.0
78,MACARRON PASTA DE TRIGO,kilo,0.0,0.0
79,MANDARINA,kilo,0.0,0.0
80,MANTEQUILLA ,kilo,0.0,0.0
81,MANZANA FUYI,kilo,0.0,0.0
82,MANZANA GOLDEN,kilo,0.0,0.0
83,MAYONESA,litro,0.0,0.0
84,MEJILLON ESCABECHE 8/12 PIEZAS EN ACEITE OLIVA ,kilo,0.0,0.0
85,MEJILLON FRESCO,,0.0,0.0
86,MELOCOTON ,kilo,0.0,0.0
87,MELON,kilo,0.0,0.0
88,MENESTRA VERDURA CONSERVA,kilo,0.0,0.0
89,MERLUZA FRESCA ENTERA ,kilo,0.0,0.0
90,MOSTAZA,kilo,0.0,0.0
91,NARANJA,kilo,0.0,0.0
92,NATA COCINA,litro,0.0,0.0
93,NUEZ ,kilo,0.0,0.0
94,PANCETA LONCHAS,kilo,0.0,0.0
95,PAÑUELOS PAPEL BOLSILLO,unidad,0.0,0.0
96,PAPEL ALUMINIO ,metro,0.0,0.0
97,PAPEL COCINA BLANCO DOBLE,rollo,0.0,0.0
98,PAPEL HIGIENICO DOBLE ROLLO 2 CAPAS,rollo,0.0,0.0
99,PATATA ENTERA CONSERVA,kilo,0.0,0.0
100,PATATA NUEVA,kilo,0.0,0.0
101,PAVO ,kilo,0.0,0.0
102,PECHUGA PAVO ,kilo,0.0,0.0
103,PEPINILLOS,kilo,0.0,0.0
104,PIMIENTO ASADO TIRAS,kilo,0.0,0.0
105,PIMIENTO ITALIANO ,kilo,0.0,0.0
106,PIMIENTO PIQUILLO ASADO ENTERO,kilo,0.0,0.0
107,PIMIENTO ROJO,kilo,0.0,0.0
108,PIÑA,kilo,0.0,0.0
109,PIPAS GIRASOL GIGANTES TOSTADAS CON SAL,kilo,0.0,0.0
110,PLATANO CANARIO,kilo,0.0,0.0
111,POCHA  COCIDA,kilo,0.0,0.0
112,POLLO ENTERO LIMPIO FRESCO,kilo,0.0,0.0
113,POLLO PECHUGA FILETES FRESCO,kilo,0.0,0.0
114,PUERRO ,kilo,0.0,0.0
115,QUESO EMMENTAL ,,0.0,0.0
116,QUESO FRESCO ,kilo,0.0,0.0
117,"QUESO GOUDA TIERNO,",,0.0,0.0
118,REPOLLO ,kilo,0.0,0.0
119,SALMON AHUMADO LONCHAS,kilo,0.0,0.0
120,SALMON FRESCO ,,0.0,0.0
121,SALSA BECHAMEL ,litro,0.0,0.0
122,SARDINA ACEITE OLIVA,kilo,0.0,0.0
123,SUAVIZANTE ROPA CONCENTRADO ,dosis,0.0,0.0
124,TALLARINES,kilo,0.0,0.0
125,TOMATE  CHERRY,kilo,0.0,0.0
126,TOMATE ENSALADA,kilo,0.0,0.0
127,TOMATE FRITO ACEITE OLIVA RECETA ARTESANA,kilo,0.0,0.0
128,TOMATE PERA,kilo,0.0,0.0
129,VINAGRE BALSAMICO MODENA,litro,0.0,0.0
130,VINAGRE JEREZ,litro,0.0,0.0
131,YOGUR GRIEGO NATURAL,kilo,0.0,0.0
132,ZANAHORIA,kilo,0.0,0.0
133,ZUMO NARANJA,,0.0,0.0
134,JABON MANOS LIQUIDO ,mililitro,0.0,0.0
